,screen_name,name,description,favourites_count,followers_count,following,friends_count,location,profile_image_url,profile_image_url_https,time_zone,url,verified,created_at
40,viCODE_in,Vikas Parashar,"Designer,Developer,Thinker,Sherlock Fan,Undergrad Student @ NIT Surat",29,36,False,126,India,http://pbs.twimg.com/profile_images/467676336421478400/Z9eWGO1M_normal.png,https://pbs.twimg.com/profile_images/467676336421478400/Z9eWGO1M_normal.png,New Delhi,,False,Mon Jun 21 07:36:44 +0000 2010
41,meakaakka,Akash Nimare,"Learn | Code | Hack | Develop | Bodybuilding | Party | Web developer | Explorer |
Startup lover | Undergrad Student @ NIT Surat",69,109,False,692,INDIA,http://pbs.twimg.com/profile_images/3711888957/3831a7e6e984e7acd6b4f53663de99fd_normal.jpeg,https://pbs.twimg.com/profile_images/3711888957/3831a7e6e984e7acd6b4f53663de99fd_normal.jpeg,New Delhi,https://t.co/8W8GirjNao,False,Sun Mar 27 19:48:23 +0000 2011
42,parul_sharma2,parul sharma ,"Pursuing Graduation , Foodie and a cat lover .. Tipping to a point ///",3,754,False,1739,New Delhi,http://pbs.twimg.com/profile_images/378800000047341079/f936e0bdfd440cfebd5e92e52eb25916_normal.jpeg,https://pbs.twimg.com/profile_images/378800000047341079/f936e0bdfd440cfebd5e92e52eb25916_normal.jpeg,,,False,Wed Jun 26 04:49:19 +0000 2013
43,AboutLibras,LIBRA,Your source for information about LIBRA... Follow our other accounts: @Damnfoodporn @XclusiveShoe,33,156629,False,75102,Worldwide,http://pbs.twimg.com/profile_images/378800000761292432/bfc8adfee29acaa7b471225ed047786e_normal.png,https://pbs.twimg.com/profile_images/378800000761292432/bfc8adfee29acaa7b471225ed047786e_normal.png,Central Time (US & Canada),http://t.co/NeVew8jl2D,False,Tue Nov 01 02:42:40 +0000 2011
44,Withintensity,Crazy,,0,141,False,841,,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,Pacific Time (US & Canada),,False,Wed Feb 13 20:32:50 +0000 2013
45,Angel_Investor1,George Henderson,Angel Investment and Venture Capital News and Info for Entrepreneurs and private equity investors.,0,14828,False,11920,"New York, USA",http://pbs.twimg.com/profile_images/1628660899/yuiyui_normal.jpg,https://pbs.twimg.com/profile_images/1628660899/yuiyui_normal.jpg,Athens,,False,Tue Nov 08 10:58:36 +0000 2011
46,parikhparth12,Parth Parikh,"Roger Federer,Sachin Tendulkar,Deepika Padukone,Playing Sports,Optimism, Stock Markets,Dreaming,Debates,Philanthrophy,Advnture, Ethics -few terms that define me",9,35,False,211,"Vadodara,Gujarat,India",http://pbs.twimg.com/profile_images/378800000086405165/121f62dfb0c2bf251300e5d71bbf71dc_normal.jpeg,https://pbs.twimg.com/profile_images/378800000086405165/121f62dfb0c2bf251300e5d71bbf71dc_normal.jpeg,,,False,Thu Jul 04 10:47:25 +0000 2013
47,CityShor,CityShor Ahmedabad,"CityShor tells you what's best in Ahmedabad in Food, Fashion, Travel, Home Decor, Events and Product categories. Also follow us on http://t.co/A9ZBel6cDC",13,2917,False,2206,Ahmedabad,http://pbs.twimg.com/profile_images/3327435093/183bf89abe123f3d3b2d6a944682ed46_normal.png,https://pbs.twimg.com/profile_images/3327435093/183bf89abe123f3d3b2d6a944682ed46_normal.png,Chennai,http://t.co/KvUmqBWfG1,False,Fri Dec 21 07:40:09 +0000 2012
48,smilingshubhi,Shubhi,"So called-Engineer ,YES+! graduate...Insane...Child...Dreamer..Optimist...moving on some road not taken..;) luvvvving life...!!",21,31,False,161,India,http://pbs.twimg.com/profile_images/378800000040348161/d95a7810695ccc809c8f62a46ea1aa1c_normal.jpeg,https://pbs.twimg.com/profile_images/378800000040348161/d95a7810695ccc809c8f62a46ea1aa1c_normal.jpeg,New Delhi,,False,Fri Aug 28 14:38:30 +0000 2009
49,jigarbaldha,Jigarkumar Baldha,"Life is so short ....so Why so serious..???
Live Today....Enjoy Today...!!!",2,49,False,572,Surat,http://pbs.twimg.com/profile_images/1873867702/o-matic_normal.jpg,https://pbs.twimg.com/profile_images/1873867702/o-matic_normal.jpg,Mumbai,http://t.co/DsxLHxRcv7,False,Fri Mar 02 08:08:16 +0000 2012
50,hardiksondagar,Hardik Sondagar,Rise,11,129,False,443,Ahmedabad,http://pbs.twimg.com/profile_images/2541254065/9ussikasvyoyagaxqu92_normal.jpeg,https://pbs.twimg.com/profile_images/2541254065/9ussikasvyoyagaxqu92_normal.jpeg,Chennai,http://t.co/7B07BTvByt,False,Sun May 15 12:58:12 +0000 2011
51,anupamapanchal,Anupama,Founder @gridle_in;  UI/UX @ thewebstudio.in; An entrepreneur; CS; Flutist; Chess-player;,0,122,False,134,Ahmedabad,http://pbs.twimg.com/profile_images/378800000783475319/b34a1f247e2d2d0a1669dc528be5a882_normal.jpeg,https://pbs.twimg.com/profile_images/378800000783475319/b34a1f247e2d2d0a1669dc528be5a882_normal.jpeg,Chennai,http://t.co/4C73hpnN0M,False,Tue Dec 22 19:21:12 +0000 2009
52,Freak_heart,Vartika Dewani,"Poetess, Day dreamer, Blogger, Procrastinator, In love with smiles, At peace with life and a perfect Gemini! :)",8,100,False,341,India,http://pbs.twimg.com/profile_images/3559596015/60927bd9a90cafe23120d9eff0297b4a_normal.jpeg,https://pbs.twimg.com/profile_images/3559596015/60927bd9a90cafe23120d9eff0297b4a_normal.jpeg,,http://t.co/wPjnODlagx,False,Sun Jan 16 20:27:46 +0000 2011
53,variant_guy,Varun Tyagi,I am Jack's search for truth.,5,293,False,183,New Delhi,http://pbs.twimg.com/profile_images/1311635467/IMG_6622_copy_normal.jpg,https://pbs.twimg.com/profile_images/1311635467/IMG_6622_copy_normal.jpg,Kolkata,http://t.co/gvkIB3doPl,False,Tue Apr 13 04:46:53 +0000 2010
